2019-04-19T17:22:34.669 ,CyclicGen_main ,<module> ,INFO ,train_dir: ./train_dir
2019-04-19T17:22:34.669 ,CyclicGen_main ,<module> ,INFO ,task: all
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,pretrained_model_checkpoint_path: ./train_dir/2019-04-19T174028/model.ckpt-14034
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,batch_size: 8
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,training_data_step: 1
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,model_size: large
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,dataset_train: ucf101_256
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,dataset_test: ucf101
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,stage: s1s2
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,max_steps: None
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,max_epochs: 10
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,s1_steps: None
2019-04-19T17:22:34.670 ,CyclicGen_main ,<module> ,INFO ,s1_epochs: 5
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,crop_size: 128
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,coef_loss_c: 1.0
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,coef_loss_m: 0.1
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,coef_loss_s: 0.0
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,coef_loss_t: 0.0
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,strategy: original_cycle_gen
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,logging_interval: 10
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,checkpoint_interval: None
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,save_summary: False
2019-04-19T17:22:34.671 ,CyclicGen_main ,<module> ,INFO ,graph_level_seed: 0
2019-04-19T17:22:34.672 ,CyclicGen_main ,<module> ,INFO ,logging_level: info
2019-04-19T17:22:34.672 ,CyclicGen_main ,<module> ,INFO ,Output_directory: ./train_dir/2019-04-20T012234
2019-04-19T17:23:05.288 ,tf_logging ,info ,INFO ,Restoring parameters from ./train_dir/2019-04-19T174028/model.ckpt-14034
2019-04-19T17:23:06.795 ,CyclicGen_main ,train ,INFO ,2019-04-20T012306: Pre-trained model restored from ./train_dir/2019-04-19T174028/model.ckpt-14034
2019-04-19T17:23:07.616 ,tf_logging ,info ,INFO ,Restoring parameters from hed_model/new-model.ckpt
2019-04-19T17:23:08.408 ,CyclicGen_main ,train ,INFO ,data_size: 22461
2019-04-19T17:23:08.408 ,CyclicGen_main ,train ,INFO ,num_steps_per_epoch: 2807
2019-04-19T17:23:08.408 ,CyclicGen_main ,train ,INFO ,max_steps: 28070
2019-04-19T17:23:08.408 ,CyclicGen_main ,train ,INFO ,s1_steps: 14035
2019-04-19T17:23:51.747 ,CyclicGen_main ,train ,INFO ,Epoch Number: 5
2019-04-19T18:32:21.248 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-20T012234/model.ckpt-16841
2019-04-19T18:32:22.303 ,CyclicGen_main ,train ,INFO ,Epoch Number: 6
2019-04-19T19:40:46.438 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-20T012234/model.ckpt-19648
2019-04-19T19:40:47.488 ,CyclicGen_main ,train ,INFO ,Epoch Number: 7
2019-04-19T20:49:14.190 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-20T012234/model.ckpt-22455
2019-04-19T20:49:15.242 ,CyclicGen_main ,train ,INFO ,Epoch Number: 8
2019-04-19T21:57:37.722 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-20T012234/model.ckpt-25262
2019-04-19T21:57:38.770 ,CyclicGen_main ,train ,INFO ,Epoch Number: 9
2019-04-19T23:05:47.699 ,CyclicGen_main ,train ,INFO ,Model was saved at: ./train_dir/2019-04-20T012234/model.ckpt-28069
2019-04-19T23:05:52.286 ,tf_logging ,info ,INFO ,Restoring parameters from ./train_dir/2019-04-19T174028/model.ckpt-14034
2019-04-19T23:05:52.465 ,CyclicGen_main ,test ,INFO ,2019-04-20T070552: Pre-trained model restored from ./train_dir/2019-04-19T174028/model.ckpt-14034
2019-04-19T23:05:52.477 ,CyclicGen_main ,test ,INFO ,data_size: 379
